list,item,objects,clicks,target_pos,positions,probe_obj,probe_p1,probe_p2,probe_p3,probe_p4,probe_p5,probe_p6,probe_p7,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_p9,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,corr_p7,corr_p8,corr_p9,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,sum
20,item_20,5,3,"1,4,5","1,4,5,8,9","1,5,8",colored PNG/PICTURE_358.png,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_448.png,,,colored PNG/PICTURE_23.png,,,colored PNG/PICTURE_90.png,colored PNG/PICTURE_358.png,,,colored PNG/PICTURE_448.png,colored PNG/PICTURE_91.png,,,,,,,,,,,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
21,item_21,5,3,"1,4,5","1,4,5,8,9","1,8,9",colored PNG/PICTURE_91.png,,,colored PNG/PICTURE_358.png,colored PNG/PICTURE_1.png,,,colored PNG/PICTURE_1.png,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_448.png,,,colored PNG/PICTURE_358.png,colored PNG/PICTURE_91.png,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
22,item_22,6,3,"1,4,5","2,3,6,7,10,11","3,6,11",colored PNG/PICTURE_91.png,,,colored PNG/PICTURE_100.png,colored PNG/PICTURE_23.png,,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_100.png,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_1.png,,,colored PNG/PICTURE_90.png,colored PNG/PICTURE_91.png,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
23,item_23,6,3,"1,4,5","2,3,6,7,10,11","2,10,11",colored PNG/PICTURE_91.png,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_448.png,,,,colored PNG/PICTURE_448.png,colored PNG/PICTURE_100.png,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_91.png,colored PNG/PICTURE_23.png,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
24,item_24,6,3,"1,4,5","2,3,6,7,10,11","2,6,7",colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_100.png,colored PNG/PICTURE_1.png,,,,colored PNG/PICTURE_1.png,colored PNG/PICTURE_358.png,,,colored PNG/PICTURE_100.png,colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_91.png,,,,,,,,,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,item_25,6,3,"1,4,5","2,3,6,7,10,11","2,6,10",colored PNG/PICTURE_358.png,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_448.png,,,,colored PNG/PICTURE_358.png,colored PNG/PICTURE_1.png,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_430.png,,,colored PNG/PICTURE_448.png,colored PNG/PICTURE_100.png,,,,,,,,,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
26,item_26,6,3,"1,4,5","2,3,6,7,10,11","6,7,10",colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_448.png,,,,colored PNG/PICTURE_358.png,colored PNG/PICTURE_91.png,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_448.png,colored PNG/PICTURE_1.png,,,,,,,,,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
27,item_27,8,3,"1,4,5","2,3,6,7,12,13,14,15","3,7,15",colored PNG/PICTURE_91.png,,,colored PNG/PICTURE_358.png,colored PNG/PICTURE_430.png,,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_430.png,,,colored PNG/PICTURE_448.png,colored PNG/PICTURE_358.png,,,,,colored PNG/PICTURE_1.png,colored PNG/PICTURE_90.png,colored PNG/PICTURE_100.png,colored PNG/PICTURE_91.png,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
28,item_28,8,3,"1,4,5","2,3,6,7,12,13,14,15","7,13,14",colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_100.png,colored PNG/PICTURE_1.png,,,,colored PNG/PICTURE_358.png,colored PNG/PICTURE_448.png,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_100.png,,,,,colored PNG/PICTURE_23.png,colored PNG/PICTURE_1.png,colored PNG/PICTURE_90.png,colored PNG/PICTURE_91.png,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3
29,item_29,6,4,"2,3,6,7","2,3,6,7,10,11","6,7,10,11",,colored PNG/PICTURE_541.png,colored PNG/PICTURE_238.png,,,colored PNG/PICTURE_707.png,colored PNG/PICTURE_338.png,,colored PNG/PICTURE_35.png,colored PNG/PICTURE_64.png,,,colored PNG/PICTURE_238.png,colored PNG/PICTURE_707.png,,,colored PNG/PICTURE_541.png,colored PNG/PICTURE_338.png,,,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
30,item_30,6,4,"2,3,6,7","2,3,6,7,10,11","2,7,10,11",,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,,,colored PNG/PICTURE_338.png,colored PNG/PICTURE_475.png,,colored PNG/PICTURE_338.png,colored PNG/PICTURE_69.png,,,colored PNG/PICTURE_35.png,colored PNG/PICTURE_165.png,,,colored PNG/PICTURE_475.png,colored PNG/PICTURE_67.png,,,,,,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
31,item_31,8,4,"2,3,6,7","2,3,6,7,12,13,14,15","2,6,12,13",,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,,,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,,colored PNG/PICTURE_64.png,colored PNG/PICTURE_707.png,,,colored PNG/PICTURE_67.png,colored PNG/PICTURE_35.png,,,,,colored PNG/PICTURE_69.png,colored PNG/PICTURE_165.png,colored PNG/PICTURE_541.png,colored PNG/PICTURE_238.png,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
32,item_32,8,4,"2,3,6,7","2,3,6,7,12,13,14,15","7,12,14,15",,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,,,colored PNG/PICTURE_238.png,colored PNG/PICTURE_475.png,,colored PNG/PICTURE_165.png,colored PNG/PICTURE_541.png,,,colored PNG/PICTURE_707.png,colored PNG/PICTURE_238.png,,,,,colored PNG/PICTURE_69.png,colored PNG/PICTURE_338.png,colored PNG/PICTURE_64.png,colored PNG/PICTURE_475.png,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,4
33,item_33,10,4,"2,3,6,7","1,4,5,8,9,16,17,18,19,20","1,18,19,20",,colored PNG/PICTURE_35.png,colored PNG/PICTURE_541.png,,,colored PNG/PICTURE_67.png,colored PNG/PICTURE_475.png,colored PNG/PICTURE_35.png,,,colored PNG/PICTURE_238.png,colored PNG/PICTURE_338.png,,,colored PNG/PICTURE_69.png,colored PNG/PICTURE_707.png,,,,,,,colored PNG/PICTURE_64.png,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,colored PNG/PICTURE_475.png,colored PNG/PICTURE_541.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
34,item_34,10,4,"2,3,6,7","1,4,5,8,9,16,17,18,19,20","1,9,19,20",,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,,,colored PNG/PICTURE_35.png,colored PNG/PICTURE_707.png,colored PNG/PICTURE_707.png,,,colored PNG/PICTURE_338.png,colored PNG/PICTURE_165.png,,,colored PNG/PICTURE_475.png,colored PNG/PICTURE_64.png,,,,,,,colored PNG/PICTURE_541.png,colored PNG/PICTURE_67.png,colored PNG/PICTURE_238.png,colored PNG/PICTURE_35.png,colored PNG/PICTURE_69.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4
